identifier,caseIdentifierURI,caseIdentifierUUID,name,description,jurisdiction,academicSubject,inLanguage,adoptionStatus,dateCreated,dateModified,notes,author,provider,license,attributionStatement
afe86201-f4cd-5764-9cc0-03c9b37f89f0,https://satchelcommons.com/ims/case/v1p0/CFDocuments/c63aabba-d7cb-11e8-824f-0242ac160002,c63aabba-d7cb-11e8-824f-0242ac160002,Missouri Learning Standards: English Language Arts,,Missouri,English Language Arts,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
573f9df2-263b-569f-9704-5a5278e2c7ec,https://satchelcommons.com/ims/case/v1p0/CFDocuments/866f0099-91a3-4119-b1bf-c718c7c27862,866f0099-91a3-4119-b1bf-c718c7c27862,Nevada Academic Content Standards for Science,,Nevada,Science,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
02575dee-30d0-50fd-b0e6-182da76f63a5,https://satchelcommons.com/ims/case/v1p0/CFDocuments/50a88167-d6f5-41ea-a6c1-ee1ea83b6820,50a88167-d6f5-41ea-a6c1-ee1ea83b6820,North Carolina Standard Course of Study: Social Studies,,North Carolina,Social Studies,en-US,Implemented,,2024-04-08,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
1b3da8f8-091b-587a-a4e3-8d0dccd5e3f5,https://casestandards.cps.edu/ims/case/v1p0/CFDocuments/eeeca97c-e5ad-494b-a191-23a62960bcf8,eeeca97c-e5ad-494b-a191-23a62960bcf8,Illinois Learning Standards (ILS) for Social Science (2022),,Illinois,Social Studies,en-US,Implemented,,2025-03-27,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
62cbdbe0-aa25-554e-bf27-b719cdb698ec,https://standards.azed.gov/uri/c664d506-d7cb-11e8-824f-0242ac160002,c664d506-d7cb-11e8-824f-0242ac160002,Arizona English Language Arts Standards (2016),,Arizona,English Language Arts,en-US,Implemented,,2025-05-13,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
2dacd2a1-1119-5fa3-8fcf-0b1f6deaa19e,https://satchelcommons.com/ims/case/v1p0/CFDocuments/c649e0a2-d7cb-11e8-824f-0242ac160002,c649e0a2-d7cb-11e8-824f-0242ac160002,Alaska Mathematics Standards,,Alaska,Mathematics,en-US,Implemented,,2025-05-06,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
d5dba36e-4d6c-52de-85d2-11441d22c4b4,https://satchelcommons.com/ims/case/v1p0/CFDocuments/a54d4303-0691-4f6f-bb37-dbb270e9cb65,a54d4303-0691-4f6f-bb37-dbb270e9cb65,2022 Oregon Science Standards,,Oregon,Science,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
118a6b3b-a3ac-56f8-ad18-e70559251aec,https://satchelcommons.com/ims/case/v1p0/CFDocuments/4986bf5b-89b9-4d58-8ee7-2a840f071c54,4986bf5b-89b9-4d58-8ee7-2a840f071c54,2020 New Jersey Student Learning Standards for Social Studies,,New Jersey,Social Studies,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
35518c74-701c-5f4c-b40e-f4a906ea6902,https://satchelcommons.com/ims/case/v1p0/CFDocuments/c648f9b3-d7cb-11e8-824f-0242ac160002,c648f9b3-d7cb-11e8-824f-0242ac160002,South Dakota State Standards for English Language Arts and Literacy (2018),,South Dakota,English Language Arts,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
c08a391d-b439-56ca-b915-f35e96613ddb,https://satchelcommons.com/ims/case/v1p0/CFDocuments/da91f195-2dd8-4ad1-acd7-11b26da5bad4,da91f195-2dd8-4ad1-acd7-11b26da5bad4,Pennsylvania Academic Standards for Geography (2002),,Pennsylvania,Social Studies,en-US,Implemented,,2024-01-30,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
9bd01c2e-8880-55a0-ba9e-fe8663a8d4f0,https://satchelcommons.com/ims/case/v1p0/CFDocuments/c64900aa-d7cb-11e8-824f-0242ac160002,c64900aa-d7cb-11e8-824f-0242ac160002,Vermont Common Core for English Language Arts,,Vermont,English Language Arts,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
37202aa5-2f61-5b1c-b43b-3a27ee472a62,https://satchelcommons.com/ims/case/v1p0/CFDocuments/cb27df8f-02b7-4b53-a6b8-4deffd7c33c3,cb27df8f-02b7-4b53-a6b8-4deffd7c33c3,Massachusetts Curriculum Framework for History and Social Studies,,Massachusetts,Social Studies,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
ff39e69c-55e6-55bf-847c-baf9f75bb50e,https://satchelcommons.com/ims/case/v1p0/CFDocuments/274b4dcc-6566-4d62-9d3a-d2c150ad070b,274b4dcc-6566-4d62-9d3a-d2c150ad070b,Minnesota K–12 Academic Standards in English Language Arts (2020),,Minnesota,English Language Arts,en-US,Implemented,,2025-04-30,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
e90796a5-dcca-566e-83a1-2967a4eae562,https://satchelcommons.com/ims/case/v1p0/CFDocuments/3569dfd4-b3fc-43f9-b9dc-fe5008747fad,3569dfd4-b3fc-43f9-b9dc-fe5008747fad,Mississippi College and Career Readiness Standards for Social Studies,,Mississippi,Social Studies,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
